Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,cell_line,cell_subtype,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,treatment
SRR22520701,not applicable,RNA-Seq,51,1965246954,IDB RAS,PRJNA893554,SAMN32028221,Human,715964728,iMA,2DF-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 10 of differentiating,SRX18485110,Illumina HiSeq 4000,not applicable,iMA(rep1)_2DF_d+10,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:32:00Z,1,"2DF-derived iMacs, cell line iMA, day 10",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520702,not applicable,RNA-Seq,51,1844530056,IDB RAS,PRJNA893554,SAMN32028220,Human,666714039,iMA,2DF-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 6 of differentiating,SRX18485109,Illumina HiSeq 4000,not applicable,iMA(rep1)_2DF_d+6,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:34:00Z,1,"2DF-derived iMacs, cell line iMA, day 6",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520703,not applicable,RNA-Seq,51,1935493758,IDB RAS,PRJNA893554,SAMN32028219,Human,700648938,iMA,2DF-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 0 of differentiating,SRX18485108,Illumina HiSeq 4000,not applicable,iMA(rep1)_2DF_d0,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:34:00Z,1,"2DF-derived iMacs, cell line iMA, day 0",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520704,not applicable,RNA-Seq,51,2344569195,IDB RAS,PRJNA893554,SAMN32028218,Human,848736627,iMA,2DF-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day -4 of differentiating,SRX18485107,Illumina HiSeq 4000,not applicable,iMA(rep1)_2DF_d-4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:36:00Z,1,"2DF-derived iMacs, cell line iMA, iPSC",not applicable,SRP411250,not applicable,"The generation of iMacs using the 2DF protocol (2DF-iMacs) was performed as it was previously described by [Takata et al.\, 2017]\, with some modifications. Briefly\, iPSCs were expanded on MEFs and depleted from MEFs by culturing them on Matrigel-coated ..."
SRR22520705,not applicable,RNA-Seq,51,1734968286,IDB RAS,PRJNA893554,SAMN32028217,Human,628805079,iMA,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 19 of differentiating,SRX18485106,Illumina HiSeq 4000,not applicable,iMA(rep1)_EBS_d+19,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:32:00Z,1,"EBS-derived iMacs, cell line iMA, day 19",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520706,not applicable,RNA-Seq,51,2095450515,IDB RAS,PRJNA893554,SAMN32028216,Human,765176986,iMA,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 10 of differentiating,SRX18485105,Illumina HiSeq 4000,not applicable,iMA(rep1)_EBS_d+10,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:32:00Z,1,"EBS-derived iMacs, cell line iMA, day 10",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520707,not applicable,RNA-Seq,51,2303248791,IDB RAS,PRJNA893554,SAMN32028215,Human,834771231,iMA,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 6 of differentiating,SRX18485104,Illumina HiSeq 4000,not applicable,iMA(rep1)_EBS_d+6,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:35:00Z,1,"EBS-derived iMacs, cell line iMA, day 6",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520708,not applicable,RNA-Seq,51,1995947526,IDB RAS,PRJNA893554,SAMN32028214,Human,725123061,iMA,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 0 of differentiating,SRX18485103,Illumina HiSeq 4000,not applicable,iMA(rep1)_EBS_d0,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:34:00Z,1,"EBS-derived iMacs, cell line iMA, day 0",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520709,not applicable,RNA-Seq,51,1877539500,IDB RAS,PRJNA893554,SAMN32028213,Human,678834324,iMA,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day -4 of differentiating,SRX18485102,Illumina HiSeq 4000,not applicable,iMA(rep1)_EBS_d-4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:31:00Z,1,"EBS-derived iMacs, cell line iMA, iPSC",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520710,not applicable,RNA-Seq,51,2333370921,IDB RAS,PRJNA893554,SAMN32028204,Human,850366780,K7,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day 0 of differentiating,SRX18485101,Illumina HiSeq 4000,not applicable,K7_EBS_d0,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:35:00Z,1,"EBS-derived iMacs, cell line K7, day 0",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
SRR22520711,not applicable,RNA-Seq,51,1920137811,IDB RAS,PRJNA893554,SAMN32028203,Human,698366674,K7,EBS-protocol,differentiating induced macrophages,KOLTZOV INSTITUTE OF DEVELOPMENTAL BIOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",day -4 of differentiating,SRX18485100,Illumina HiSeq 4000,not applicable,K7_EBS_d-4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-12-04T00:00:00Z,2022-12-04T14:34:00Z,1,"EBS-derived iMacs, cell line K7, iPSC",not applicable,SRP411250,not applicable,"The generation of iMacs using the EBS protocol (EBS-iMacs) was performed as described earlier [Nenasheva et al.\, 2020]. Briefly\, iPSCs were expanded on MEFs\, collected using collagenase IV in a way to preserve colony integrity\, placed in ultralow adhes..."
